student_id,student_name,birth_date,grade_level,school_name,barangay,math_score,english_score,science_score,attendance_rate
STU-300383,Brian Herrera,2016-07-25,Grade 7,Rizal Elementary School,Poblacion,100.0,92.0,64.0,0.86
STU-300775,Frank Crawford,2017-04-26,Grade 5,San Isidro Elementary School,Poblacion,100.0,99.0,91.0,0.95
STU-300791,Crystal Maxwell,2005-11-02,Grade 4,Mabini Integrated School,Bayanihan,66.0,90.0,77.0,1.0
STU-300131,Christina Decker,2007-05-05,Grade 6,Poblacion National High School,Del Pilar,72.0,100.0,72.0,0.95
STU-300464,Steven Hunter,2017-10-06,Grade 4,Poblacion National High School,Maligaya,100.0,96.0,89.0,0.94
STU-300588,Christina Rivers,2006-01-26,Grade 1,Rizal Elementary School,Del Pilar,68.0,92.0,66.0,0.96
STU-300953,Michelle Luna,2005-12-29,Grade 2,San Isidro Elementary School,Rizal,83.0,81.0,82.0,0.89
STU-300837,Lisa Cline,2008-01-29,Grade 1,San Isidro Elementary School,Magsaysay,,,,
STU-300456,Andrew Hernandez,2009-08-13,Grade 5,Rizal Elementary School,Del Pilar,90.0,87.0,72.0,1.0
STU-300024,Kevin Washington,2018-07-31,Grade 9,Poblacion National High School,Poblacion,88.0,81.0,79.0,0.95
STU-300003,Brianna Jones,2013-09-14,Grade 1,Mabini Integrated School,Magsaysay,100.0,82.0,74.0,0.92
STU-300421,Todd Bradford,2019-08-16,Grade 2,San Isidro Elementary School,Del Pilar,86.0,78.0,82.0,0.97
STU-300991,Robert Douglas,2014-11-19,Grade 1,Mabini Integrated School,Mabini,78.0,72.0,63.0,0.91
STU-300259,Madison Carlson,2017-10-16,Grade 6,Poblacion National High School,Maligaya,93.0,83.0,79.0,0.97
STU-300427,Daniel Nelson,2009-01-30,Grade 10,San Isidro Elementary School,Sta. Cruz,88.0,86.0,76.0,0.9
STU-300816,Kevin Alexander Jr.,2014-11-12,Grade 3,San Isidro Elementary School,Bayanihan,66.0,75.0,79.0,0.95
STU-300258,Jerry Long,2012-06-29,Grade 7,Rizal Elementary School,Sta. Cruz,76.0,83.0,87.0,0.93
STU-300433,Benjamin Hudson,2005-11-06,Grade 1,Rizal Elementary School,San Jose,86.0,64.0,84.0,0.85
STU-300271,Brenda Carter,2013-12-10,Grade 1,Mabini Integrated School,San Jose,68.0,75.0,74.0,1.0
STU-300236,Anthony Hampton,2016-06-16,Grade 3,Rizal Elementary School,Maligaya,76.0,79.0,100.0,0.94
STU-300946,Matthew Dunn,2006-07-27,Grade 6,Mabini Integrated School,Sta. Cruz,73.0,71.0,82.0,0.96
