order_id,order_date,customer_name,barangay,product,category,quantity,unit_price,total_amount,payment_method
SO-100383,2026-05-24,Mark Martinez,Bayanihan,Cooking Oil,Grocery,4.0,537.83,2151.32,Bank Transfer
SO-100775,2026-05-24,Russell Marks,Bagong Silang,Cooking Oil,Beverage,2.0,232.43,464.86,GCash
SO-100791,2026-05-24,Kenneth Carlson,Del Pilar,Cooking Oil,Household,3.0,713.7,2141.1,GCash
SO-100131,2026-05-24,Jessica Terry,Poblacion,Rice,Grocery,5.0,690.7,3453.5,Bank Transfer
SO-100464,2026-05-24,Janice Cummings,Maligaya,Rice,Beverage,5.0,825.27,4126.35,GCash
SO-100588,2026-05-24,Tiffany Jones,Bagong Silang,Canned Sardines,Grocery,8.0,768.1,6144.8,GCash
SO-100953,2026-05-24,Mrs. Chelsea Rowland,Bayanihan,Milk,Grocery,7.0,458.33,3208.31,Cash
SO-100837,2026-05-24,Penny Copeland,San Isidro,Canned Sardines,Personal Care,,,,Bank Transfer
SO-100456,2026-05-24,Mr. Robert Martinez MD,Rizal,Instant Noodles,Grocery,4.0,545.31,2181.24,Bank Transfer
SO-100024,2026-05-24,Beverly Ferguson,Magsaysay,Shampoo,Personal Care,4.0,526.83,2107.32,GCash
SO-100003,2026-05-24,Shannon Johnson,Magsaysay,Coffee,Household,2.0,537.28,1074.56,Bank Transfer
SO-100421,2026-05-24,Katie Webb,Sta. Cruz,Instant Noodles,Personal Care,3.0,475.72,1427.16,Cash
SO-100991,2026-05-24,Samuel Mcintosh,Bagong Silang,Cooking Oil,Household,7.0,453.71,3175.97,Card
SO-100259,2026-05-24,Caitlin Hunt,San Isidro,Cooking Oil,Beverage,6.0,277.42,1664.52,GCash
SO-100427,2026-05-24,Anna Ellis,Maligaya,Instant Noodles,Grocery,6.0,413.64,2481.84,GCash
SO-100816,2026-05-24,Daniel Pittman,Sta. Cruz,Soap,Beverage,8.0,944.28,7554.24,Bank Transfer
SO-100258,2026-05-24,Fernando Lozano,San Jose,Milk,Grocery,3.0,697.14,2091.42,GCash
SO-100433,2026-05-24,Tina Walker,San Isidro,Rice,Household,5.0,311.94,1559.7,Bank Transfer
SO-100271,2026-05-24,Joshua Wright,Del Pilar,Soap,Personal Care,3.0,845.89,2537.67,Bank Transfer
SO-100236,2026-05-24,Megan Hill,Bayanihan,Milk,Beverage,3.0,254.51,763.53,Bank Transfer
SO-100946,2026-05-24,Larry Singh,Magsaysay,Milk,Household,4.0,784.18,3136.72,Bank Transfer
SO-100074,2026-05-24,Amy Gibson,Mabini,Instant Noodles,Grocery,1.0,476.63,476.63,Bank Transfer
SO-100086,2026-05-24,Joseph Hayes,San Jose,Milk,Personal Care,5.0,445.02,2225.1,Bank Transfer
SO-100835,2026-05-24,David Johnson,Del Pilar,Milk,Beverage,11.0,739.85,8138.35,Cash
SO-100022,2026-05-24,Kara Diaz,Bayanihan,Milk,Personal Care,3.0,577.53,1732.59,Cash
SO-100718,2026-05-24,Maria Downs,Rizal,Milk,Beverage,3.0,917.86,2753.58,Bank Transfer
SO-100295,2026-05-24,Laura Sanchez,Rizal,Coffee,Grocery,6.0,844.53,5067.18,Card
SO-100812,2026-05-24,Rachel Robles,San Isidro,Instant Noodles,Personal Care,4.0,722.88,2891.52,GCash
SO-100152,2026-05-24,Julia Watson,San Miguel,Rice,Personal Care,5.0,367.6,1838.0,GCash
SO-100536,2026-05-24,Rebecca Lewis,Maligaya,Rice,Personal Care,4.0,678.46,2713.84,Bank Transfer
